Description,Full Address,Value,Type,Base,Offset
Bison,,,,,
Bison_214kk_Timer,,,,,
P1_A_Bison_214kk_Timer,2C2685EE,0,2 Byte,2C268340,2AE
P1_B_Bison_214kk_Timer,2C269136,0,2 Byte,2C268E88,2AE
P1_C_Bison_214kk_Timer,2C269C7E,0,2 Byte,2C2699D0,2AE
P2_A_Bison_214kk_Timer,2C268B92,0,2 Byte,2C2688E4,2AE
P2_B_Bison_214kk_Timer,2C2696DA,0,2 Byte,2C26942C,2AE
P2_C_Bison_214kk_Timer,2C26A222,0,2 Byte,2C269F74,2AE
Dhalsim,,,,,
Dhalsim_214kk_Timer,,,,,
P1_A_Dhalsim_214kk_Timer,2C2685EC,1031,2 Byte,2C268340,2AC
P1_B_Dhalsim_214kk_Timer,2C269134,0,2 Byte,2C268E88,2AC
P1_C_Dhalsim_214kk_Timer,2C269C7C,0,2 Byte,2C2699D0,2AC
P2_A_Dhalsim_214kk_Timer,2C268B90,0,2 Byte,2C2688E4,2AC
P2_B_Dhalsim_214kk_Timer,2C2696D8,0,2 Byte,2C26942C,2AC
P2_C_Dhalsim_214kk_Timer,2C26A220,0,2 Byte,2C269F74,2AC
Doom,,,,,
Doom_214kk_Timer,,,,,
P1_A_Doom_214kk_Timer,2C2685EE,0,2 Byte,2C268340,2AE
P1_B_Doom_214kk_Timer,2C269136,0,2 Byte,2C268E88,2AE
P1_C_Doom_214kk_Timer,2C269C7E,0,2 Byte,2C2699D0,2AE
P2_A_Doom_214kk_Timer,2C268B92,0,2 Byte,2C2688E4,2AE
P2_B_Doom_214kk_Timer,2C2696DA,0,2 Byte,2C26942C,2AE
P2_C_Doom_214kk_Timer,2C26A222,0,2 Byte,2C269F74,2AE
Iron_Man,,,,,
Iron_Man_214kk_Timer,,,,,
P1_A_Iron_Man_214kk_Timer,2C2685E8,56833,2 Byte,2C268340,2A8
P1_B_Iron_Man_214kk_Timer,2C269130,3839,2 Byte,2C268E88,2A8
P1_C_Iron_Man_214kk_Timer,2C269C78,0,2 Byte,2C2699D0,2A8
P2_A_Iron_Man_214kk_Timer,2C268B8C,0,2 Byte,2C2688E4,2A8
P2_B_Iron_Man_214kk_Timer,2C2696D4,0,2 Byte,2C26942C,2A8
P2_C_Iron_Man_214kk_Timer,2C26A21C,0,2 Byte,2C269F74,2A8
Magneto,,,,,
Magneto_214kk_Timer,,,,,
P1_A_Magneto_214kk_Timer,2C2685EA,0,2 Byte,2C268340,2AA
P1_B_Magneto_214kk_Timer,2C269132,0,2 Byte,2C268E88,2AA
P1_C_Magneto_214kk_Timer,2C269C7A,0,2 Byte,2C2699D0,2AA
P2_A_Magneto_214kk_Timer,2C268B8E,0,2 Byte,2C2688E4,2AA
P2_B_Magneto_214kk_Timer,2C2696D6,0,2 Byte,2C26942C,2AA
P2_C_Magneto_214kk_Timer,2C26A21E,0,2 Byte,2C269F74,2AA
Sentinel,,,,,
Sentinel_214kk_Timer,,,,,
P1_A_Sentinel_214kk_Timer,2C2685E4,0,2 Byte,2C268340,2A4
P1_B_Sentinel_214kk_Timer,2C26912C,0,2 Byte,2C268E88,2A4
P1_C_Sentinel_214kk_Timer,2C269C74,0,2 Byte,2C2699D0,2A4
P2_A_Sentinel_214kk_Timer,2C268B88,0,2 Byte,2C2688E4,2A4
P2_B_Sentinel_214kk_Timer,2C2696D0,0,2 Byte,2C26942C,2A4
P2_C_Sentinel_214kk_Timer,2C26A218,0,2 Byte,2C269F74,2A4
Storm,,,,,
Storm_214kk_Timer,,,,,
P1_A_Storm_214kk_Timer,2C2685F4,0,2 Byte,2C268340,2B4
P1_B_Storm_214kk_Timer,2C26913C,0,2 Byte,2C268E88,2B4
P1_C_Storm_214kk_Timer,2C269C84,0,2 Byte,2C2699D0,2B4
P2_A_Storm_214kk_Timer,2C268B98,0,2 Byte,2C2688E4,2B4
P2_B_Storm_214kk_Timer,2C2696E0,0,2 Byte,2C26942C,2B4
P2_C_Storm_214kk_Timer,2C26A228,0,2 Byte,2C269F74,2B4
War_Machine,,,,,
War_Machine_214kk_Timer,,,,,
P1_A_War_Machine_214kk_Timer,2C2685E8,56833,2 Byte,2C268340,2A8
P1_B_War_Machine_214kk_Timer,2C269130,3839,2 Byte,2C268E88,2A8
P1_C_War_Machine_214kk_Timer,2C269C78,0,2 Byte,2C2699D0,2A8
P2_A_War_Machine_214kk_Timer,2C268B8C,0,2 Byte,2C2688E4,2A8
P2_B_War_Machine_214kk_Timer,2C2696D4,0,2 Byte,2C26942C,2A8
P2_C_War_Machine_214kk_Timer,2C26A21C,0,2 Byte,2C269F74,2A8
X_Gravity,,,,,
P1_A_X_Gravity,2C2683A8,0,Float,2C268340,68
P1_B_X_Gravity,2C268EF0,0,Float,2C268E88,68
P1_C_X_Gravity,2C269A38,0,Float,2C2699D0,68
P2_A_X_Gravity,2C26894C,0,Float,2C2688E4,68
P2_B_X_Gravity,2C269494,0,Float,2C26942C,68
P2_C_X_Gravity,2C269FDC,0,Float,2C269F74,68
Y_Gravity,,,,,
P1_A_Y_Gravity,2C2683AC,0,Float,2C268340,6C
P1_B_Y_Gravity,2C268EF4,-0.803571403,Float,2C268E88,6C
P1_C_Y_Gravity,2C269A3C,-0.803571403,Float,2C2699D0,6C
P2_A_Y_Gravity,2C268950,0,Float,2C2688E4,6C
P2_B_Y_Gravity,2C269498,0,Float,2C26942C,6C
P2_C_Y_Gravity,2C269FE0,-0.803571403,Float,2C269F74,6C
X_Position_From_Enemy,,,,,
P1_A_X_Position_From_Enemy,2C2685D8,33.33331299,Float,2C268340,298
P1_B_X_Position_From_Enemy,2C269120,525.0164795,Float,2C268E88,298
P1_C_X_Position_From_Enemy,2C269C68,646.0262451,Float,2C2699D0,298
P2_A_X_Position_From_Enemy,2C268B7C,40,Float,2C2688E4,298
P2_B_X_Position_From_Enemy,2C2696C4,0,Float,2C26942C,298
P2_C_X_Position_From_Enemy,2C26A20C,688.6328125,Float,2C269F74,298
Y_Position_From_Enemy,,,,,
P1_A_Y_Position_From_Enemy,2C2687CC,0,Float,2C268340,48C
P1_B_Y_Position_From_Enemy,2C269314,-166.8749695,Float,2C268E88,48C
P1_C_Y_Position_From_Enemy,2C269E5C,-190.1785278,Float,2C2699D0,48C
P2_A_Y_Position_From_Enemy,2C268D70,0,Float,2C2688E4,48C
P2_B_Y_Position_From_Enemy,2C2698B8,0,Float,2C26942C,48C
P2_C_Y_Position_From_Enemy,2C26A400,-177.8571014,Float,2C269F74,48C
X_Position_Arena,,,,,
P1_A_X_Position_Arena,2C268374,-927.9678955,Float,2C268340,34
P1_B_X_Position_Arena,2C268EBC,-1386.666626,Float,2C268E88,34
P1_C_X_Position_Arena,2C269A04,1386.666626,Float,2C2699D0,34
P2_A_X_Position_Arena,2C268918,-814.6345825,Float,2C2688E4,34
P2_B_X_Position_Arena,2C269460,213.3333282,Float,2C26942C,34
P2_C_X_Position_Arena,2C269FA8,1386.666626,Float,2C269F74,34
Y_Position_Arena,,,,,
P1_A_Y_Position_Arena,2C268378,0,Float,2C268340,38
P1_B_Y_Position_Arena,2C268EC0,0,Float,2C268E88,38
P1_C_Y_Position_Arena,2C269A08,0,Float,2C2699D0,38
P2_A_Y_Position_Arena,2C26891C,0,Float,2C2688E4,38
P2_B_Y_Position_Arena,2C269464,0,Float,2C26942C,38
P2_C_Y_Position_Arena,2C269FAC,0,Float,2C269F74,38
X_Position_Screen,,,,,
P1_A_X_Position_Screen,2C268420,352.0317688,Float,2C268340,E0
P1_B_X_Position_Screen,2C268F68,-198.3479309,Float,2C268E88,E0
P1_C_X_Position_Screen,2C269AB0,838.0117188,Float,2C2699D0,E0
P2_A_X_Position_Screen,2C2689C4,465.7238464,Float,2C2688E4,E0
P2_B_X_Position_Screen,2C26950C,0,Float,2C26942C,E0
P2_C_X_Position_Screen,2C26A054,869.9868164,Float,2C269F74,E0
Y_Position_Screen,,,,,
P1_A_Y_Position_Screen,2C268424,433.3999939,Float,2C268340,E4
P1_B_Y_Position_Screen,2C268F6C,266.5250244,Float,2C268E88,E4
P1_C_Y_Position_Screen,2C269AB4,314.0065613,Float,2C2699D0,E4
P2_A_Y_Position_Screen,2C2689C8,433.6344299,Float,2C2688E4,E4
P2_B_Y_Position_Screen,2C269510,0,Float,2C26942C,E4
P2_C_Y_Position_Screen,2C26A058,255.3383484,Float,2C269F74,E4
X_Velocity,,,,,
P1_A_X_Velocity,2C26839C,0,Float,2C268340,5C
P1_B_X_Velocity,2C268EE4,-16.66666603,Float,2C268E88,5C
P1_C_X_Velocity,2C269A2C,16.66666603,Float,2C2699D0,5C
P2_A_X_Velocity,2C268940,0,Float,2C2688E4,5C
P2_B_X_Velocity,2C269488,0,Float,2C26942C,5C
P2_C_X_Velocity,2C269FD0,16.66666603,Float,2C269F74,5C
Y_Velocity,,,,,
P1_A_Y_Velocity,2C2683A0,0,Float,2C268340,60
P1_B_Y_Velocity,2C268EE8,5.08928299,Float,2C268E88,60
P1_C_Y_Velocity,2C269A30,0.267854512,Float,2C2699D0,60
